open_time;ticker;open;high;low;close;adj_close;volume;ema_200p;ema_200p_diff;rsi;previsao;s_open_time;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff
1645538400000;SAPR4.SA;4.0;4.0;3.97;3.98;3.98;183200;3.91;1.76;49.6;ESTAVEL;2022-02-22 14:00:00;stocks;3.93;1.16;3.93;1.16
1645542000000;SAPR4.SA;3.98;3.99;3.96;3.98;3.98;115600;3.91;1.74;49.6;ESTAVEL;2022-02-22 15:00:00;stocks;3.93;1.15;3.93;1.15
1645545600000;SAPR4.SA;3.97;3.98;3.96;3.98;3.98;78000;3.91;1.72;49.6;ESTAVEL;2022-02-22 16:00:00;stocks;3.94;1.13;3.94;1.13
1645549200000;SAPR4.SA;3.98;3.99;3.96;3.96;3.96;106400;3.91;1.2;44.07;ESTAVEL;2022-02-22 17:00:00;stocks;3.94;0.62;3.94;0.62
1645552800000;SAPR4.SA;3.97;3.97;3.94;3.94;3.94;145400;3.91;0.68;39.34;ESTAVEL;2022-02-22 18:00:00;stocks;3.94;0.11;3.94;0.11
1645556400000;SAPR4.SA;3.94;3.98;3.94;3.97;3.97;257600;3.91;1.43;48.3;ESTAVEL;2022-02-22 19:00:00;stocks;3.94;0.86;3.94;0.86
1645621200000;SAPR4.SA;3.97;4.03;3.97;4.02;4.02;0;3.92;2.68;59.13;ESTAVEL;2022-02-23 13:00:00;stocks;3.94;2.11;3.94;2.11
1645624800000;SAPR4.SA;4.02;4.1;4.01;4.1;4.1;1433700;3.92;4.67;69.97;ESTAVEL;2022-02-23 14:00:00;stocks;3.94;4.09;3.94;4.09
1645628400000;SAPR4.SA;4.08;4.1;4.06;4.08;4.08;422900;3.92;4.12;65.31;ESTAVEL;2022-02-23 15:00:00;stocks;3.94;3.54;3.94;3.54
1645632000000;SAPR4.SA;4.07;4.09;4.07;4.09;4.09;372500;3.92;4.33;66.51;ESTAVEL;2022-02-23 16:00:00;stocks;3.94;3.75;3.94;3.75
1645635600000;SAPR4.SA;4.08;4.09;4.07;4.09;4.09;385600;3.92;4.28;66.51;ESTAVEL;2022-02-23 17:00:00;stocks;3.94;3.7;3.94;3.7
1645639200000;SAPR4.SA;4.09;4.1;4.08;4.08;4.08;227800;3.92;3.98;63.94;ESTAVEL;2022-02-23 18:00:00;stocks;3.95;3.41;3.95;3.41
1645642800000;SAPR4.SA;4.08;4.09;4.06;4.06;4.06;195600;3.93;3.44;59.03;ESTAVEL;2022-02-23 19:00:00;stocks;3.95;2.87;3.95;2.87
1645707600000;SAPR4.SA;3.98;4.0;3.92;3.96;3.96;0;3.93;0.88;41.76;ESTAVEL;2022-02-24 13:00:00;stocks;3.95;0.33;3.95;0.33
1645711200000;SAPR4.SA;3.96;3.99;3.96;3.98;3.98;517400;3.93;1.38;45.21;ESTAVEL;2022-02-24 14:00:00;stocks;3.95;0.83;3.95;0.83
1645714800000;SAPR4.SA;3.97;3.99;3.96;3.96;3.96;258500;3.93;0.86;42.5;ESTAVEL;2022-02-24 15:00:00;stocks;3.95;0.32;3.95;0.32
1645718400000;SAPR4.SA;3.96;3.98;3.95;3.97;3.97;302100;3.93;1.1;44.3;ESTAVEL;2022-02-24 16:00:00;stocks;3.95;0.57;3.95;0.57
1645722000000;SAPR4.SA;3.96;3.98;3.94;3.95;3.95;257200;3.93;0.59;41.5;ESTAVEL;2022-02-24 17:00:00;stocks;3.95;0.06;3.95;0.06
1645725600000;SAPR4.SA;3.94;3.96;3.93;3.95;3.95;315600;3.93;0.58;41.5;ESTAVEL;2022-02-24 18:00:00;stocks;3.95;0.06;3.95;0.06
1645729200000;SAPR4.SA;3.95;3.99;3.94;3.98;3.98;502200;3.93;1.33;47.29;ESTAVEL;2022-02-24 19:00:00;stocks;3.95;0.81;3.95;0.81
1645794000000;SAPR4.SA;3.98;4.04;3.96;4.02;4.02;0;3.93;2.32;53.85;ESTAVEL;2022-02-25 13:00:00;stocks;3.95;1.8;3.95;1.8
1645797600000;SAPR4.SA;4.01;4.06;4.01;4.06;4.06;733600;3.93;3.31;59.31;ESTAVEL;2022-02-25 14:00:00;stocks;3.95;2.78;3.95;2.78
1645801200000;SAPR4.SA;4.06;4.08;4.01;4.01;4.01;308700;3.93;2.01;51.16;ESTAVEL;2022-02-25 15:00:00;stocks;3.95;1.5;3.95;1.5
1645804800000;SAPR4.SA;4.0;4.01;3.99;3.99;3.99;79300;3.93;1.49;48.31;ESTAVEL;2022-02-25 16:00:00;stocks;3.95;0.98;3.95;0.98
1645808400000;SAPR4.SA;3.99;4.0;3.98;3.98;3.98;307800;3.93;1.22;46.9;ESTAVEL;2022-02-25 17:00:00;stocks;3.95;0.72;3.95;0.72
1645812000000;SAPR4.SA;3.98;3.99;3.98;3.99;3.99;63200;3.93;1.46;48.52;ESTAVEL;2022-02-25 18:00:00;stocks;3.95;0.96;3.95;0.96
1645815600000;SAPR4.SA;3.99;4.0;3.98;3.99;3.99;103200;3.93;1.45;48.52;ESTAVEL;2022-02-25 19:00:00;stocks;3.95;0.95;3.95;0.95
1646236800000;SAPR4.SA;3.98;4.01;3.95;3.98;3.98;957400;3.93;1.18;46.86;ESTAVEL;2022-03-02 16:00:00;stocks;3.95;0.69;3.95;0.69
1646240400000;SAPR4.SA;3.98;4.0;3.96;4.0;4.0;327100;3.93;1.67;50.5;ESTAVEL;2022-03-02 17:00:00;stocks;3.95;1.18;3.95;1.18
1646244000000;SAPR4.SA;3.99;4.03;3.99;4.02;4.02;670800;3.94;2.16;53.9;ESTAVEL;2022-03-02 18:00:00;stocks;3.95;1.67;3.95;1.67
1646312400000;SAPR4.SA;4.05;4.09;4.04;4.06;4.06;0;3.94;3.14;59.84;ESTAVEL;2022-03-03 13:00:00;stocks;3.96;2.65;3.96;2.65
1646316000000;SAPR4.SA;4.05;4.08;4.02;4.08;4.08;587200;3.94;3.61;62.45;ESTAVEL;2022-03-03 14:00:00;stocks;3.96;3.12;3.96;3.12
1646319600000;SAPR4.SA;4.07;4.12;4.07;4.1;4.1;983900;3.94;4.08;64.9;ESTAVEL;2022-03-03 15:00:00;stocks;3.96;3.59;3.96;3.59
1646323200000;SAPR4.SA;4.1;4.12;4.08;4.11;4.11;327900;3.94;4.28;66.09;ESTAVEL;2022-03-03 16:00:00;stocks;3.96;3.79;3.96;3.79
1646326800000;SAPR4.SA;4.11;4.14;4.11;4.14;4.14;723900;3.94;4.99;69.45;ESTAVEL;2022-03-03 17:00:00;stocks;3.96;4.5;3.96;4.5
1646330400000;SAPR4.SA;4.13;4.15;4.13;4.13;4.13;285000;3.95;4.69;67.06;ESTAVEL;2022-03-03 18:00:00;stocks;3.96;4.2;3.96;4.2
1646334000000;SAPR4.SA;4.14;4.14;4.11;4.12;4.12;337200;3.95;4.39;64.68;ESTAVEL;2022-03-03 19:00:00;stocks;3.97;3.9;3.97;3.9
1646398800000;SAPR4.SA;4.09;4.13;4.06;4.07;4.07;0;3.95;3.09;54.27;ESTAVEL;2022-03-04 13:00:00;stocks;3.97;2.61;3.97;2.61
1646402400000;SAPR4.SA;4.06;4.08;4.05;4.07;4.07;305500;3.95;3.06;54.27;ESTAVEL;2022-03-04 14:00:00;stocks;3.97;2.58;3.97;2.58
1646406000000;SAPR4.SA;4.08;4.11;4.07;4.1;4.1;185600;3.95;3.78;58.87;ESTAVEL;2022-03-04 15:00:00;stocks;3.97;3.3;3.97;3.3
1646409600000;SAPR4.SA;4.1;4.11;4.09;4.1;4.1;164600;3.95;3.74;58.87;ESTAVEL;2022-03-04 16:00:00;stocks;3.97;3.26;3.97;3.26
1646413200000;SAPR4.SA;4.09;4.12;4.09;4.12;4.12;182200;3.95;4.2;61.85;ESTAVEL;2022-03-04 17:00:00;stocks;3.97;3.72;3.97;3.72
1646416800000;SAPR4.SA;4.12;4.14;4.11;4.11;4.11;253000;3.96;3.9;59.53;ESTAVEL;2022-03-04 18:00:00;stocks;3.97;3.43;3.97;3.43
1646420400000;SAPR4.SA;4.11;4.12;4.09;4.1;4.1;141400;3.96;3.61;57.22;ESTAVEL;2022-03-04 19:00:00;stocks;3.98;3.14;3.98;3.14
1646658000000;SAPR4.SA;4.08;4.13;4.07;4.11;4.11;0;3.96;3.83;58.94;ESTAVEL;2022-03-07 13:00:00;stocks;3.98;3.36;3.98;3.36
1646661600000;SAPR4.SA;4.11;4.15;4.1;4.14;4.14;566700;3.96;4.54;63.64;ESTAVEL;2022-03-07 14:00:00;stocks;3.98;4.07;3.98;4.07
1646665200000;SAPR4.SA;4.13;4.15;4.07;4.07;4.07;502200;3.96;2.74;49.41;ESTAVEL;2022-03-07 15:00:00;stocks;3.98;2.28;3.98;2.28
1646668800000;SAPR4.SA;4.07;4.08;4.02;4.02;4.02;602000;3.96;1.46;42.16;ESTAVEL;2022-03-07 16:00:00;stocks;3.98;1.01;3.98;1.01
1646672400000;SAPR4.SA;4.02;4.03;4.01;4.02;4.02;298300;3.96;1.45;42.16;ESTAVEL;2022-03-07 17:00:00;stocks;3.98;1.0;3.98;1.0
1646676000000;SAPR4.SA;4.01;4.03;4.0;4.01;4.01;400600;3.96;1.18;40.77;ESTAVEL;2022-03-07 18:00:00;stocks;3.98;0.74;3.98;0.74
1646679600000;SAPR4.SA;4.0;4.01;3.99;3.99;3.99;310200;3.96;0.67;38.07;ESTAVEL;2022-03-07 19:00:00;stocks;3.98;0.24;3.98;0.24
1646744400000;SAPR4.SA;3.99;4.02;3.94;3.96;3.96;1120100;3.96;-0.09;34.4;ESTAVEL;2022-03-08 13:00:00;stocks;3.98;-0.51;3.98;-0.51
1646748000000;SAPR4.SA;3.96;3.97;3.91;3.93;3.93;781500;3.96;-0.83;31.15;ESTAVEL;2022-03-08 14:00:00;stocks;3.98;-1.25;3.98;-1.25
1646751600000;SAPR4.SA;3.93;3.95;3.92;3.93;3.93;332500;3.96;-0.83;31.15;ESTAVEL;2022-03-08 15:00:00;stocks;3.98;-1.24;3.98;-1.24
1646755200000;SAPR4.SA;3.92;3.93;3.91;3.92;3.92;153300;3.96;-1.07;30.06;ESTAVEL;2022-03-08 16:00:00;stocks;3.98;-1.47;3.98;-1.47
1646758800000;SAPR4.SA;3.92;3.96;3.9;3.95;3.95;659000;3.96;-0.31;37.19;ESTAVEL;2022-03-08 17:00:00;stocks;3.98;-0.71;3.98;-0.71
1646762400000;SAPR4.SA;3.94;3.96;3.91;3.92;3.92;205100;3.96;-1.05;33.51;ESTAVEL;2022-03-08 18:00:00;stocks;3.98;-1.45;3.98;-1.45
1646766000000;SAPR4.SA;3.92;3.93;3.91;3.93;3.93;139700;3.96;-0.79;35.79;ESTAVEL;2022-03-08 19:00:00;stocks;3.98;-1.19;3.98;-1.19
1646830800000;SAPR4.SA;3.94;4.01;3.91;4.0;4.0;0;3.96;0.96;48.99;ESTAVEL;2022-03-09 13:00:00;stocks;3.98;0.57;3.98;0.57
1646834400000;SAPR4.SA;4.0;4.03;3.97;3.99;3.99;569900;3.96;0.7;47.48;ESTAVEL;2022-03-09 14:00:00;stocks;3.98;0.31;3.98;0.31
1646838000000;SAPR4.SA;4.0;4.01;3.98;4.0;4.0;316300;3.96;0.95;49.16;ESTAVEL;2022-03-09 15:00:00;stocks;3.98;0.56;3.98;0.56
1646841600000;SAPR4.SA;4.01;4.03;3.99;4.02;4.02;298000;3.96;1.44;52.43;ESTAVEL;2022-03-09 16:00:00;stocks;3.98;1.05;3.98;1.05
1646845200000;SAPR4.SA;4.02;4.05;4.01;4.03;4.03;354100;3.96;1.67;54.03;ESTAVEL;2022-03-09 17:00:00;stocks;3.98;1.29;3.98;1.29
1646848800000;SAPR4.SA;4.04;4.06;4.03;4.05;4.05;263400;3.96;2.15;57.12;ESTAVEL;2022-03-09 18:00:00;stocks;3.98;1.77;3.98;1.77
1646852400000;SAPR4.SA;4.05;4.05;4.03;4.05;4.05;239900;3.97;2.13;57.12;ESTAVEL;2022-03-09 19:00:00;stocks;3.98;1.75;3.98;1.75
1646917200000;SAPR4.SA;4.05;4.05;3.98;3.98;3.98;0;3.97;0.36;44.87;ESTAVEL;2022-03-10 13:00:00;stocks;3.98;-0.01;3.98;-0.01
1646920800000;SAPR4.SA;3.99;3.99;3.94;3.97;3.97;386100;3.97;0.11;43.43;ESTAVEL;2022-03-10 14:00:00;stocks;3.98;-0.26;3.98;-0.26
1646924400000;SAPR4.SA;3.96;4.02;3.96;4.02;4.02;334600;3.97;1.36;51.74;ESTAVEL;2022-03-10 15:00:00;stocks;3.98;0.99;3.98;0.99
1646928000000;SAPR4.SA;4.03;4.04;4.01;4.03;4.03;316100;3.97;1.59;53.22;ESTAVEL;2022-03-10 16:00:00;stocks;3.98;1.23;3.98;1.23
1646931600000;SAPR4.SA;4.03;4.04;4.01;4.02;4.02;269700;3.97;1.33;51.52;ESTAVEL;2022-03-10 17:00:00;stocks;3.98;0.97;3.98;0.97
1646935200000;SAPR4.SA;4.02;4.03;4.01;4.02;4.02;311400;3.97;1.31;51.52;ESTAVEL;2022-03-10 18:00:00;stocks;3.98;0.95;3.98;0.95
1646938800000;SAPR4.SA;4.02;4.04;4.02;4.03;4.03;132500;3.97;1.55;53.25;ESTAVEL;2022-03-10 19:00:00;stocks;3.98;1.19;3.98;1.19
1647003600000;SAPR4.SA;4.03;4.07;4.01;4.03;4.03;0;3.97;1.53;53.25;ESTAVEL;2022-03-11 13:00:00;stocks;3.98;1.18;3.98;1.18
1647007200000;SAPR4.SA;4.03;4.05;4.02;4.03;4.03;240100;3.97;1.52;53.25;ESTAVEL;2022-03-11 14:00:00;stocks;3.98;1.17;3.98;1.17
1647010800000;SAPR4.SA;4.03;4.04;4.02;4.03;4.03;359800;3.97;1.5;53.25;ESTAVEL;2022-03-11 15:00:00;stocks;3.98;1.15;3.98;1.15
1647014400000;SAPR4.SA;4.03;4.03;4.02;4.03;4.03;282700;3.97;1.49;53.25;ESTAVEL;2022-03-11 16:00:00;stocks;3.98;1.14;3.98;1.14
1647018000000;SAPR4.SA;4.03;4.03;4.02;4.02;4.02;138700;3.97;1.22;50.63;ESTAVEL;2022-03-11 17:00:00;stocks;3.98;0.88;3.98;0.88
1647021600000;SAPR4.SA;4.03;4.03;4.0;4.01;4.01;179700;3.97;0.96;48.08;ESTAVEL;2022-03-11 18:00:00;stocks;3.99;0.62;3.99;0.62
1647025200000;SAPR4.SA;4.0;4.02;3.99;4.0;4.0;114300;3.97;0.7;45.61;ESTAVEL;2022-03-11 19:00:00;stocks;3.99;0.37;3.99;0.37
1647262800000;SAPR4.SA;3.98;4.03;3.95;3.96;3.96;0;3.97;-0.3;37.34;ESTAVEL;2022-03-14 13:00:00;stocks;3.99;-0.63;3.99;-0.63
1647266400000;SAPR4.SA;3.96;3.99;3.95;3.99;3.99;400700;3.97;0.45;45.34;ESTAVEL;2022-03-14 14:00:00;stocks;3.99;0.12;3.99;0.12
1647270000000;SAPR4.SA;3.99;3.99;3.95;3.96;3.96;213000;3.97;-0.3;39.86;ESTAVEL;2022-03-14 15:00:00;stocks;3.98;-0.62;3.98;-0.62
1647273600000;SAPR4.SA;3.96;3.96;3.93;3.93;3.93;455300;3.97;-1.05;35.27;ESTAVEL;2022-03-14 16:00:00;stocks;3.98;-1.36;3.98;-1.36
1647277200000;SAPR4.SA;3.94;3.94;3.92;3.93;3.93;157300;3.97;-1.04;35.27;ESTAVEL;2022-03-14 17:00:00;stocks;3.98;-1.35;3.98;-1.35
1647280800000;SAPR4.SA;3.92;3.93;3.9;3.92;3.92;391300;3.97;-1.28;33.76;ESTAVEL;2022-03-14 18:00:00;stocks;3.98;-1.58;3.98;-1.58
1647284400000;SAPR4.SA;3.91;3.93;3.91;3.92;3.92;220100;3.97;-1.26;33.76;ESTAVEL;2022-03-14 19:00:00;stocks;3.98;-1.56;3.98;-1.56
1647349200000;SAPR4.SA;3.93;3.94;3.89;3.93;3.93;0;3.97;-1.0;36.88;ESTAVEL;2022-03-15 13:00:00;stocks;3.98;-1.3;3.98;-1.3
1647352800000;SAPR4.SA;3.92;3.92;3.89;3.92;3.92;304800;3.97;-1.24;35.1;ESTAVEL;2022-03-15 14:00:00;stocks;3.98;-1.53;3.98;-1.53
1647356400000;SAPR4.SA;3.92;3.93;3.9;3.93;3.93;231200;3.97;-0.98;38.31;ESTAVEL;2022-03-15 15:00:00;stocks;3.98;-1.27;3.98;-1.27
1647360000000;SAPR4.SA;3.93;3.94;3.93;3.94;3.94;141600;3.97;-0.72;41.43;ESTAVEL;2022-03-15 16:00:00;stocks;3.98;-1.01;3.98;-1.01
1647363600000;SAPR4.SA;3.94;3.94;3.92;3.94;3.94;87500;3.97;-0.71;41.43;ESTAVEL;2022-03-15 17:00:00;stocks;3.98;-1.0;3.98;-1.0
1647367200000;SAPR4.SA;3.94;3.95;3.92;3.95;3.95;226900;3.97;-0.46;44.67;ESTAVEL;2022-03-15 18:00:00;stocks;3.98;-0.74;3.98;-0.74
1647370800000;SAPR4.SA;3.95;3.95;3.92;3.93;3.93;92500;3.97;-0.95;39.91;ESTAVEL;2022-03-15 19:00:00;stocks;3.98;-1.23;3.98;-1.23
1647435600000;SAPR4.SA;3.95;3.95;3.91;3.92;3.92;0;3.97;-1.19;37.75;ESTAVEL;2022-03-16 13:00:00;stocks;3.98;-1.46;3.98;-1.46
1647439200000;SAPR4.SA;3.92;3.97;3.91;3.97;3.97;756600;3.97;0.07;51.83;ESTAVEL;2022-03-16 14:00:00;stocks;3.98;-0.21;3.98;-0.21
1647442800000;SAPR4.SA;3.97;3.98;3.96;3.98;3.98;415000;3.97;0.32;54.06;ESTAVEL;2022-03-16 15:00:00;stocks;3.98;0.05;3.98;0.05
1647446400000;SAPR4.SA;3.98;4.0;3.97;3.98;3.98;287900;3.97;0.31;54.06;ESTAVEL;2022-03-16 16:00:00;stocks;3.98;0.04;3.98;0.04
1647450000000;SAPR4.SA;3.98;3.98;3.95;3.97;3.97;212400;3.97;0.06;51.3;ESTAVEL;2022-03-16 17:00:00;stocks;3.98;-0.2;3.98;-0.2
1647453600000;SAPR4.SA;3.95;3.98;3.94;3.97;3.97;482600;3.97;0.06;51.3;ESTAVEL;2022-03-16 18:00:00;stocks;3.98;-0.2;3.98;-0.2
1647457200000;SAPR4.SA;3.96;3.97;3.95;3.95;3.95;218400;3.97;-0.44;45.86;ESTAVEL;2022-03-16 19:00:00;stocks;3.98;-0.7;3.98;-0.7
1647522000000;SAPR4.SA;3.94;4.0;3.93;3.93;3.93;0;3.97;-0.93;41.16;ESTAVEL;2022-03-17 13:00:00;stocks;3.98;-1.19;3.98;-1.19
1647525600000;SAPR4.SA;3.94;3.97;3.93;3.97;3.97;352500;3.97;0.07;51.8;ESTAVEL;2022-03-17 14:00:00;stocks;3.98;-0.18;3.98;-0.18
1647529200000;SAPR4.SA;3.97;3.98;3.96;3.98;3.98;123500;3.97;0.32;54.04;ESTAVEL;2022-03-17 15:00:00;stocks;3.98;0.07;3.98;0.07
1647532800000;SAPR4.SA;3.97;3.98;3.96;3.97;3.97;97400;3.97;0.07;51.46;ESTAVEL;2022-03-17 16:00:00;stocks;3.98;-0.18;3.98;-0.18
1647536400000;SAPR4.SA;3.97;4.0;3.96;3.99;3.99;200700;3.97;0.57;55.98;ESTAVEL;2022-03-17 17:00:00;stocks;3.98;0.32;3.98;0.32
1647540000000;SAPR4.SA;3.99;3.99;3.97;3.98;3.98;81600;3.97;0.31;53.31;ESTAVEL;2022-03-17 18:00:00;stocks;3.98;0.07;3.98;0.07
1647543600000;SAPR4.SA;3.97;3.99;3.96;3.99;3.99;357200;3.97;0.56;55.59;ESTAVEL;2022-03-17 19:00:00;stocks;3.98;0.32;3.98;0.32
1647608400000;SAPR4.SA;3.95;4.0;3.95;3.96;3.96;0;3.97;-0.19;48.01;ESTAVEL;2022-03-18 13:00:00;stocks;3.98;-0.43;3.98;-0.43
1647612000000;SAPR4.SA;3.96;3.97;3.93;3.93;3.93;739400;3.97;-0.94;41.87;ESTAVEL;2022-03-18 14:00:00;stocks;3.98;-1.18;3.98;-1.18
1647615600000;SAPR4.SA;3.94;3.95;3.92;3.93;3.93;771500;3.97;-0.93;41.87;ESTAVEL;2022-03-18 15:00:00;stocks;3.98;-1.16;3.98;-1.16
1647619200000;SAPR4.SA;3.93;3.95;3.93;3.94;3.94;343500;3.97;-0.67;44.61;ESTAVEL;2022-03-18 16:00:00;stocks;3.98;-0.9;3.98;-0.9
1647622800000;SAPR4.SA;3.93;3.95;3.93;3.94;3.94;561700;3.97;-0.67;44.61;ESTAVEL;2022-03-18 17:00:00;stocks;3.98;-0.89;3.98;-0.89
1647626400000;SAPR4.SA;3.95;3.97;3.94;3.96;3.96;483900;3.97;-0.16;50.07;ESTAVEL;2022-03-18 18:00:00;stocks;3.98;-0.39;3.98;-0.39
1647630000000;SAPR4.SA;3.96;3.97;3.95;3.95;3.95;384000;3.97;-0.41;47.54;ESTAVEL;2022-03-18 19:00:00;stocks;3.98;-0.63;3.98;-0.63
1647867600000;SAPR4.SA;3.99;4.01;3.97;3.99;3.99;0;3.97;0.59;56.9;ESTAVEL;2022-03-21 13:00:00;stocks;3.98;0.37;3.98;0.37
1647871200000;SAPR4.SA;3.99;4.0;3.96;3.98;3.98;446700;3.97;0.34;54.29;ESTAVEL;2022-03-21 14:00:00;stocks;3.98;0.12;3.98;0.12
1647874800000;SAPR4.SA;3.98;3.99;3.96;3.99;3.99;278300;3.97;0.58;56.44;ESTAVEL;2022-03-21 15:00:00;stocks;3.98;0.37;3.98;0.37
1647878400000;SAPR4.SA;3.99;3.99;3.97;3.98;3.98;130600;3.97;0.33;53.72;ESTAVEL;2022-03-21 16:00:00;stocks;3.98;0.11;3.98;0.11
1647882000000;SAPR4.SA;3.98;3.98;3.96;3.97;3.97;148400;3.97;0.08;51.07;ESTAVEL;2022-03-21 17:00:00;stocks;3.98;-0.14;3.98;-0.14
1647885600000;SAPR4.SA;3.97;3.99;3.97;3.99;3.99;183300;3.97;0.57;55.77;ESTAVEL;2022-03-21 18:00:00;stocks;3.98;0.36;3.98;0.36
1647889200000;SAPR4.SA;3.99;3.99;3.97;3.98;3.98;237300;3.97;0.32;53.03;ESTAVEL;2022-03-21 19:00:00;stocks;3.98;0.11;3.98;0.11
1647954000000;SAPR4.SA;3.99;4.04;3.99;4.02;4.02;0;3.97;1.31;61.24;ESTAVEL;2022-03-22 13:00:00;stocks;3.98;1.1;3.98;1.1
1647957600000;SAPR4.SA;4.01;4.02;3.99;3.99;3.99;281800;3.97;0.55;53.66;ESTAVEL;2022-03-22 14:00:00;stocks;3.98;0.35;3.98;0.35
1647961200000;SAPR4.SA;4.0;4.01;3.99;4.01;4.01;102700;3.97;1.05;57.44;ESTAVEL;2022-03-22 15:00:00;stocks;3.98;0.84;3.98;0.84
1647964800000;SAPR4.SA;4.0;4.01;4.0;4.01;4.01;42500;3.97;1.04;57.44;ESTAVEL;2022-03-22 16:00:00;stocks;3.98;0.83;3.98;0.83
1647968400000;SAPR4.SA;4.0;4.01;3.99;3.99;3.99;387400;3.97;0.53;52.48;ESTAVEL;2022-03-22 17:00:00;stocks;3.98;0.33;3.98;0.33
1647972000000;SAPR4.SA;4.0;4.01;3.99;4.01;4.01;103300;3.97;1.02;56.53;ESTAVEL;2022-03-22 18:00:00;stocks;3.98;0.82;3.98;0.82
1647975600000;SAPR4.SA;4.0;4.01;3.99;4.0;4.0;125800;3.97;0.76;54.05;ESTAVEL;2022-03-22 19:00:00;stocks;3.98;0.56;3.98;0.56
1648040400000;SAPR4.SA;4.01;4.05;4.0;4.04;4.04;0;3.97;1.75;61.35;ESTAVEL;2022-03-23 13:00:00;stocks;3.98;1.55;3.98;1.55
1648044000000;SAPR4.SA;4.04;4.06;4.03;4.04;4.04;560700;3.97;1.73;61.35;ESTAVEL;2022-03-23 14:00:00;stocks;3.98;1.53;3.98;1.53
1648047600000;SAPR4.SA;4.04;4.05;4.03;4.05;4.05;223500;3.97;1.96;63.05;ESTAVEL;2022-03-23 15:00:00;stocks;3.98;1.77;3.98;1.77
1648051200000;SAPR4.SA;4.04;4.05;4.03;4.03;4.03;105000;3.97;1.44;57.59;ESTAVEL;2022-03-23 16:00:00;stocks;3.98;1.25;3.98;1.25
1648054800000;SAPR4.SA;4.03;4.06;4.03;4.06;4.06;443700;3.97;2.18;62.8;ESTAVEL;2022-03-23 17:00:00;stocks;3.98;1.98;3.98;1.98
1648058400000;SAPR4.SA;4.05;4.07;4.05;4.06;4.06;393100;3.97;2.16;62.8;ESTAVEL;2022-03-23 18:00:00;stocks;3.98;1.96;3.98;1.96
1648062000000;SAPR4.SA;4.07;4.08;4.05;4.07;4.07;232200;3.98;2.38;64.48;ESTAVEL;2022-03-23 19:00:00;stocks;3.98;2.19;3.98;2.19
1648126800000;SAPR4.SA;4.09;4.1;4.07;4.09;4.09;0;3.98;2.86;67.64;ESTAVEL;2022-03-24 13:00:00;stocks;3.98;2.66;3.98;2.66
1648130400000;SAPR4.SA;4.08;4.1;4.08;4.09;4.09;246400;3.98;2.83;67.64;ESTAVEL;2022-03-24 14:00:00;stocks;3.98;2.64;3.98;2.64
1648134000000;SAPR4.SA;4.09;4.1;4.07;4.09;4.09;191100;3.98;2.8;67.64;ESTAVEL;2022-03-24 15:00:00;stocks;3.99;2.61;3.99;2.61
1648137600000;SAPR4.SA;4.09;4.1;4.07;4.08;4.08;188800;3.98;2.52;64.08;ESTAVEL;2022-03-24 16:00:00;stocks;3.99;2.33;3.99;2.33
1648141200000;SAPR4.SA;4.09;4.1;4.08;4.08;4.08;132200;3.98;2.49;64.08;ESTAVEL;2022-03-24 17:00:00;stocks;3.99;2.31;3.99;2.31
1648144800000;SAPR4.SA;4.08;4.1;4.07;4.07;4.07;539600;3.98;2.22;60.4;ESTAVEL;2022-03-24 18:00:00;stocks;3.99;2.04;3.99;2.04
1648148400000;SAPR4.SA;4.07;4.08;4.06;4.07;4.07;289000;3.98;2.2;60.4;ESTAVEL;2022-03-24 19:00:00;stocks;3.99;2.01;3.99;2.01
1648213200000;SAPR4.SA;4.07;4.1;4.03;4.03;4.03;0;3.98;1.18;47.68;ESTAVEL;2022-03-25 13:00:00;stocks;3.99;1.0;3.99;1.0
1648216800000;SAPR4.SA;4.03;4.07;4.02;4.04;4.04;465800;3.98;1.42;50.49;ESTAVEL;2022-03-25 14:00:00;stocks;3.99;1.24;3.99;1.24
1648220400000;SAPR4.SA;4.05;4.05;4.02;4.03;4.03;458000;3.98;1.15;47.73;ESTAVEL;2022-03-25 15:00:00;stocks;3.99;0.98;3.99;0.98
1648224000000;SAPR4.SA;4.03;4.05;4.03;4.04;4.04;242300;3.98;1.39;50.63;ESTAVEL;2022-03-25 16:00:00;stocks;3.99;1.22;3.99;1.22
1648227600000;SAPR4.SA;4.05;4.06;4.04;4.05;4.05;132400;3.99;1.63;53.42;ESTAVEL;2022-03-25 17:00:00;stocks;3.99;1.45;3.99;1.45
1648231200000;SAPR4.SA;4.05;4.07;4.05;4.05;4.05;177000;3.99;1.61;53.42;ESTAVEL;2022-03-25 18:00:00;stocks;3.99;1.44;3.99;1.44
1648234800000;SAPR4.SA;4.06;4.07;4.04;4.05;4.05;209900;3.99;1.59;53.42;ESTAVEL;2022-03-25 19:00:00;stocks;3.99;1.42;3.99;1.42
1648472400000;SAPR4.SA;4.04;4.08;4.03;4.08;4.08;0;3.99;2.32;61.55;ESTAVEL;2022-03-28 13:00:00;stocks;3.99;2.15;3.99;2.15
1648476000000;SAPR4.SA;4.08;4.1;4.07;4.1;4.1;679900;3.99;2.79;65.83;ESTAVEL;2022-03-28 14:00:00;stocks;4.0;2.62;4.0;2.62
